id,Date,Reporter,Title,Pool Report,Off the Record,Other type?,Phone Present,Auto- Redact,Manual Redact,Email Present,Auto- Redact,Manual Redact,Address Present,Auto- Redact,Manual Redact,Review Complete,Publish,Comments
73,"Fri, 2 Apr 2021 16:15:47 +0000",Philip Wegmann,In town pool report #4: Departure,TRUE,FALSE,,,,,,,,,,,1,1,
74,"Fri, 2 Apr 2021 15:42:39 +0000",Philip Wegmann,In Town Pool Report #3: Remarks End/ Questions,TRUE,FALSE,,,,,,,,,,,1,1,
75,"Fri, 2 Apr 2021 15:26:44 +0000",Philip Wegmann,In-Town Pool Report #2: Remarks Begin,TRUE,FALSE,, ,, ,,,,,,,1,1,
76,"Fri, 2 Apr 2021 14:22:07 +0000",Philip Wegmann,In-Town Pool Report #1: Good Morning,TRUE,FALSE,,1,,1,,,,,,,1,1,
77,"Fri, 2 Apr 2021 12:29:38 +0000",Zeke Miller,Expanding White House Access -- Week of April 5,FALSE,FALSE,,,,,,,,,,,1,0,
78,"Fri, 2 Apr 2021 01:16:13 +0000",Emily Goodin,FLOTUS pool report #2 - Dr. Biden plays April Fools Day Prank on flight back,TRUE,FALSE,,1,1,,,,,,,,1,1,
79,"Fri, 2 Apr 2021 01:57:31 +0000",Emily Goodin,FLOTUS pool report #3 - Back at White House,TRUE,FALSE,,1,1,,,,,,,,1,1,
80,"Thu, 1 Apr 2021 20:39:46 +0000",Emily Goodin,FLOTUS pool report #1 - departing California,TRUE,FALSE,,1,1,,,,,,,,1,1,
81,"Thu, 1 Apr 2021 20:16:07 +0000",Natasha Korecki,In-Town Pool #12 LID,TRUE,FALSE,,1,1,,,,,,,,1,1,
82,"Thu, 1 Apr 2021 20:47:38 +0100",Kacey Reid,First Dogs Pool Report #1,TRUE,FALSE,,,,,,,,,,,1,1,
83,"Thu, 1 Apr 2021 19:46:39 +0000",Natasha Korecki,In-Town Pool Report #11 Cabinet meeting concludes,TRUE,FALSE,,1,1,,,,,,,,1,1,
