Identifier,Title,Date,Creator,Object Type,Format,Rights Statement,FILES
202104_199,Pool Note #3 - 2 min warning for briefing,2021-04-08T12:42:47-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,199/body-199.html
202104_200,Pool Report No. 13 - Biden and Harris will speak tonight,2021-04-20T21:45:27Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,200/body-200.html;200/attachments/image001.png
202104_201,Pool Report No. 12 - color from the briefing room,2021-04-20T20:38:18Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,201/body-201.html;201/attachments/Image.jpeg
202104_202,Pool Report No. 11 - speech rescheduled,2021-04-20T20:19:09Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,202/body-202.html
202104_203,Pool Report No. 10 - holding before remarks,2021-04-20T19:50:11Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,203/body-203.html
202104_204,Pool Report No. 9 - Proterra tour beings,2021-04-20T19:28:27Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,204/body-204.html;204/attachments/image001.png
202104_205,Pool Report No. 8 - lunch lid until 2:45 p.m.,2021-04-20T17:55:11Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,205/body-205.html;205/attachments/image001.png
202104_206,Pool Report No. 7 - briefing concludes,2021-04-20T17:51:45Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,206/body-206.html
202104_207,Pool Report No. 5 - briefing to start,2021-04-20T17:05:44Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,207/body-207.html
202104_208,Pool Report 4a - quote correx,2021-04-20T16:29:13Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,208/body-208.html;208/attachments/image001.png
